Project Name,Project Link,Objective,Principal Scientist,Scientist Affiliation,Dates,Location,Project Type,Cost,Grade Level,Time Commitment,How To Join,Description,Citizen Science Web Name,Citizen Science Web Link
Firefly Watch,https://www.scientificamerican.com/citizen-science/firefly-watch/,"Citizen scientists can spend some of those long, lazy summer nights helping researchers study diminishing firefly populations","Don Salvatore, Project Coordinator",Boston Museum of Science,Ongoing,,Observation,Free,All Ages,Variable,"Register at the Museum of Science's Firefly Watch Web site. The researchers in charge of the project want to know if citizen scientists have fireflies in their backyards this summer (or in a nearby field if they don't have a backyard). Even if they don't see fireflies, their data is valuable. Data is entered onto a map on the Web site for all to view.","Researchers at Boston's Museum of Science have teamed up with Tufts University and Fitchburg State College to track the fate of fireflies across the U.S. via Firefly Watch. With help from citizen scientists, the researchers hope to learn about the geographic distribution of fireflies and their activity during the summer season.Fireflies (which are actually a type of beetle) may be affected by human-made light, lawn care (they tend to sleep in the grass during the day) and pesticides. The researchers seek to discover to what degree these and other factors are diminishing firefly populations.Citizen scientists will learn to identify firefly flash colors, patterns and locations and record this information online for communal use.",Scientific American,https://www.scientificamerican.com/citizen-science/
"Community Collaborative Rain, Hail & Snow Network (CoCoRaHS)",https://www.scientificamerican.com/citizen-science/community-collaborative-rain-hail-s/,Citizen scientists join a community of observers to measure and map precipitation,"Nolan Doesken, Climatologist and Senior Research Associate",Colorado State University,Ongoing,,Observation,Free,All Ages,Variable,"CoCoRaHS relies on volunteer network of backyard weather observers of all ages and backgrounds working together to measure and map precipitation (rain, hail and snow) in their local communities. Training is provided to teach new observers how to install their instruments, properly measure precipitation and send in reports. 

To sign up fill out an online application or contact Nolan Doesken, nolan@atmos.colostate.edu","The Community Collaborative Rain, Hail & Snow Network (CoCoRaHS) is a non-profit, community-based network of volunteers of all ages and backgrounds working together to measure and map precipitation (rain, hail and snow). By using low-cost measurement tools, stressing training and education, and utilizing an interactive Web site, the network's aim is to provide quality data for natural resource, education and research applications.Volunteers post their daily observations on the CoCoRaHS Web site. Observations are immediately available on maps and reports for the public to view. By providing high quality, accurate measurements, the observers are able to supplement existing networks and provide useful results to scientists, resource managers, decision makers and other users.CoCoRaHS came about as a result of a flash flood that hit Fort Collins, Colo., in July 1997. A very localized storm dumped more than a foot of rain in several hours while other portions of the city had only modest rainfall. The ensuing flood caught many by surprise and caused $200 million in damages. CoCoRaHS was born in 1998 with the intent of doing a better job of mapping and reporting intense storms.As more volunteers participated, rain, hail, and snow maps were produced for every storm showing fascinating local patterns that were of great interest to scientists and the public. By 2010 CoCoRaHS became a nationwide volunteer network.The National Oceanic and Atmospheric Administration (NOAA) and the National Science Foundation (NSF) are major sponsors of CoCoRaHS.",Scientific American,https://www.scientificamerican.com/citizen-science/
Project MonarchHealth,https://www.scientificamerican.com/citizen-science/project-monarchhealth/,Help scientists better understand host-parasite interactions in monarch butterflies,"Sonia Altizer, Associate Professor","Odum School of Ecology, University of Georgia",Ongoing,,Fieldwork,Free,All Ages,Variable,Please email your name and address to monarch@uga.edu,"Project MonarchHealth is a citizen-science survey of the occurrence of the protozoan parasite Ophryocystis elektroscirrha (OE), which parasitizes monarch butterflies. Best known for their migrations between breeding and wintering sites throughout North America, these butterflies are also found in non-migratory populations in places such as southern Florida. This parasite is not harmful to humans; however, it can harm the butterflies by inhibiting normal growth and lowering butterfly survival in the wild.To check for parasites, surveyors can swab the abdomen of live butterflies to collect parasite spores. MonarchHealth participants help scientists map the location and infection levels of OE in monarchs throughout the United States and determine how much disease the parasites cause.The most essential activity is capturing and sampling wild monarchs. Either capture monarch butterflies as adults or raise the caterpillars in separate containers until they become adult butterflies. In either case, you will gently tape each butterfly’s abdomen with a sticker to collect the OE spores. Next, you will send the sample, along with a simple data sheet for each butterfly, back to the scientists at the Altizer lab where they will analyze the sample. After the data are compiled, we will send you the results of your sampling contribution as well as post them on our results page for the public to see.",Scientific American,https://www.scientificamerican.com/citizen-science/
The Valley of the Khans,https://www.scientificamerican.com/citizen-science/natgeo-vallley-of-the-khans/,"For more than 100 years, National Geographic explorers have unraveled the mysteries of the past. Now it's your turn","Albert Yu-Min Lin, Research Scientist","University of California, San Diego",Ongoing,,Observation,Free,All Ages,Variable,Register at the National Geographic Web site for Field Expedition: Mongolia,"Citizen scientists examine thousands of satellite images of Mongolia to identify sites and features of potential archaeological interest; the idea is that this will assist archaeologists currently working on the ground. Researchers can study in real time the most promising citizen-scientist tagged objects (roads, rivers, structures, etcetera) using 3-D virtual reality, ground-penetrating radar and unmanned aerial vehicles. The goal of the Valley of the Khans archeological project is to identify archeological sites without disturbing them.With the growing trend of rogue illegal mining in the region, such protective measures will be critical in the preservation of this iconic symbol of world cultural heritage and the rich cultural patrimony throughout Mongolia.",Scientific American,https://www.scientificamerican.com/citizen-science/
The WildLab,https://www.scientificamerican.com/citizen-science/the-wildlab-bird-observation/,"Play an important role in gathering data about birds and their habitat, using mobile technology as a scientific tool","Jared Lamenzo, Director, The WildLab",Mediated Spaces interactive design studio (with help from Cornell Lab of Ornithology),Ongoing,,Observation,Less than $20,All Ages,Variable,"Contact The WildLab team via their Web site. Most importantly, participants need binoculars and an iPhone or iPod Touch with The WildLab app.","There are about 9,000 species of birds in the world, which, in spite of being a very diverse group of animals, all share certain traits. Beaks, wings, flight, eggs, hollow bones and, especially, feathers are all adaptations that help birds survive. Citizen scientists participating in The WildLab will search for birds in their local areas, view these birds through binoculars and, using an iPhone app, record observations about its shape, size, color, pattern and behavior.The WildLab iPhone app enables citizen scientists to select which bird they are observing. If the citizen scientists are in doubt, they can select from a number of bird silhouettes and colors and even listen to bird songs to be sure they identify the correct bird. Once they are sure of their identification, they count the number of that species seen and enter the sighting in the WildLab database. The phones use GPS to log sightings with accuracy to within a few meters. These observations can be viewed online and submitted to databases such as Cornell's eBird Database, and then used by scientists to track bird numbers and distribution.",Scientific American,https://www.scientificamerican.com/citizen-science/
SoundCitizen,https://www.scientificamerican.com/citizen-science/soundcitizen-water-sampling/,A community-based water sampling network based in Washington's Puget Sound region,"Rick Keil, Associate Professor",Aquatic Organic Geochemistry lab at the University of Washington's School of Oceanography,Ongoing,Washington - Puget Sound region,Fieldwork,Free,All Ages,Variable,"Citizen scientists can request a sampling kit from the SoundCitizen Web site. Each kit includes a 1-liter collapsible plastic bottle (with a unique barcode), instruction sheet/data-recording sheet, test strips and other equipment. After citizen scientists prepare their samples, they mail them back to the SoundCitizen team at the University of Washington. Results can later be viewed on the SoundCitizen Web site.

The project is currently most interested in samples taken from streams (paired with those from nearby beaches, taken the same day), roof runoff from gutters, street drains, lakes and streams near urban centers or in city parks, and from the Cascades and Olympic Mountains.

For more information, e-mail the project at info@soundcitizen.org.","SoundCitizen was started in 2008 by a group of undergraduates from the University of Washington in Seattle. The students wondered whether it was possible to detect human-originated compounds in the water systems, and decided to find out by testing for cooking spices in local waters. The project has since grown and its scope has been broadened. The focus is still on scientific investigation and knowledge discovery of the chemical links between urban settings and aquatic systems. However, in addition to studying compounds like cooking spices, they also study more serious ones, pollutants in particular.SoundCitizen is still staffed by undergraduate students at the University of Washington, whose individual research topics help define the overall scientific aims of the program. SoundCitizen encourages involvement with citizen volunteers and school groups, who voluntarily collect water samples from aquatic systems, perform a series of basic chemical tests, and then mail samples to the lab to be further analyzed for cooking spices and emerging pollutants.Since the program’s inception in November 2008, more than 300 volunteers and 500 K-12 students have participated in the program. More than 1,000 kits have been distributed, and more than 95 percent of the returned samples have passed initial quality control screening and have been fully processed for emerging pollutants and cooking spices.",Scientific American,https://www.scientificamerican.com/citizen-science/
Lost Ladybug Project,https://www.scientificamerican.com/citizen-science/lost-ladybug-project/,Help entomologists better understand ladybug species distribution across North America,"John Losey, Associate Professor",Cornell University Entomology Department,Ongoing,,Fieldwork,Free,All Ages,Variable,"How to join: Citizen scientists can get started right away. The first step is to find local ladybugs. Lost Ladybug Project offers tips for both finding and photographing ladybugs on its Web site. After photographing the ladybugs, citizen scientists should upload those images using a digital form available on the Lost Ladybug Project site. Photographs may also be mailed to the project's organizers in Ithaca, N.Y.

For more information, contact the project: ladybug@cornell.edu","Throughout North America ladybug species distribution is changing. Over the past 20 years several native ladybugs once very common have become extremely rare. During this same time ladybugs from other places have greatly increased both their numbers and range. Some ladybugs are simply found in new places. This is happening very quickly and scientists don't know how, why or what impact it will have on ladybug diversity or the role that ladybugs play in keeping plant-feeding insect populations low.Lost Ladybug Project is asking citizen scientists to help discover where all the ladybugs have gone so they can try to prevent more native species from becoming so rare. For example, to be able to help the nine-spotted ladybug and other ladybug species, scientists need detailed information on which species are still out there and how many individuals are around. Entomologists at Cornell can identify the different species but there are too few of these scientists to sample in enough places to find the really rare ones.Cornell entomologists need citizen scientists to be their legs, hands and eyes by finding and photographing local ladybugs.",Scientific American,https://www.scientificamerican.com/citizen-science/
Citizen Sky,https://www.scientificamerican.com/citizen-science/citizen-sky/,"Help scientists solve the mystery of epsilon Aurigae, a mysterious, bright, eclipsing binary variable star that has baffled scientists since 1821","Arne Henden, Project Principal Investigator",American Association of Variable Star Observers,Ongoing,,Observation,Free,All Ages,Variable,Contact the Citizen Sky project.,"Since the early 19th century, astronomers have observed this extremely long-period eclipsing binary located in the constellation Auriga, the charioteer. In 1928, astronomer Harlow Shapley correctly concluded that the two stars were about equal in mass. Based on this information they should be about equal in brightness as well. But the spectrum of the system showed no light from the companion at all. The visibly bright first star (called the primary) was being eclipsed by a massive, invisible second star (called the secondary).Epsilon Aurigae is bright enough to be seen with the unaided eye even in the most light-polluted cities, and it is visible every fall, winter and spring. The change in brightness that this star undergoes is called an eclipse (a process of fading and coming back to its usual brightness).",Scientific American,https://www.scientificamerican.com/citizen-science/
The Great Sunflower Project,https://www.scientificamerican.com/citizen-science/great-sunflower-project-san-fran/,Help scientists study pollination by planting flowers and tracking bee traffic,"Gretchen LeBuhn, Associate Professor","Department of Biology, San Francisco State University",Ongoing,,Observation,Free,All Ages,Less than 1 hour per week,"After signing up at the project's Web site, plant a seed or two [purchasing seeds is one of the project's few costs], spend 15 minutes watching your flowers twice a month and send or input your data directly via the site. It's a good idea to bring a camera during observations and include any pictures along with your data.

The researchers are looking for data from the early part of each month and the later part of each month for as many months as you have flowers.

For more information, contact Gretchen LeBuhn: lebuhn@sfsu.edu","Researchers at San Francisco State University set up The Great Sunflower Project in 2008 to better understand the reason for and impact of declines in bee populations. The idea behind the project is to plant flowers, observe how many and how often bees visit those flowers, and then enter that information into a database on The Great Sunflower Project Web site. The project has since expanded so that citizen scientists can also plant Bee balm, Cosmos, Rosemary, Tickseed, and Purple coneflower for the purposes of this research.Some bee populations have had severe declines, and this may be affecting food production. There have been few efforts to measure how much pollination is happening over any given region so it is unclear how these declines in bees influence gardens. As the researchers point out, many plants can't set fruit until they have been visited by a bee. The Great Sunflower project uses observational bee data collected by citizen scientists to create a nationwide (and hopefully worldwide) online map of bee populations.The University of Illinois at Urbana-Champaign Entomology Department has created a citizen science project to likewise study declining bee populations called BeeSpotter, although this project is limited for the time being to the state of Illinois.",Scientific American,https://www.scientificamerican.com/citizen-science/
Stardust@Home,https://www.scientificamerican.com/citizen-science/stardust-home-nasa/,Help find the first pristine interstellar dust particles ever brought to Earth,"Bryan Mendez, Space Science Education and Public Outreach Specialist","Center for Science Education at the University of California, Berkeley, Space Sciences Laboratory",Ongoing,,Observation,Free,All Ages,Variable,"Citizen scientists begin by reading a little about the Stardust mission, then take a tutorial that enables them to practice identifying particles. Each citizen scientist must then pass a Web-based test to qualify to register and participate. After passing the test and registering, the participant can login to the virtual microscope program, which automatically connects to Berkeley's server and downloads images for perusal.

If at least two of the four volunteers viewing each image report a potential particle, that image is fed to 100 more volunteers for verification. If at least 20 of these report a potential particle, UC Berkeley undergraduates who are expert at spotting dust grain tracks will confirm the identification. Eventually, the grain will be extracted for analysis. Discoverers will get to name their dust grains.

For additional information, contact Bryan Mendez: bmendez@ssl.berkeley.edu","On January 15, 2006, the sample return capsule from NASA's Stardust spacecraft parachuted onto the Utah desert. In addition to the particles collected during Stardust's encounter with comet Wild 2 in January of 2004 the spacecraft delivered tiny particles of interstellar dust that originated in distant stars, light-years away. Scientists estimate that Stardust collected 45 of these micron-sized interstellar dust particles using an aerogel collector 1,000 square centimeters in size.Finding the individual dust particles, however, has been a challenge—made worse by the condition of the collector plates, which are interspersed with flaws, cracks and an uneven surface. Through its Stardust@home citizen science project, University of California, Berkeley, researchers have invited Internet users to help them search for these few dozen submicroscopic grains of interstellar dust captured by NASA's Stardust spacecraft. The researchers took scans of the plates from a cleanroom at Houston's Johnson Space Center and made images of these scans available for public viewing via the Web. The dust grains will have made carrot-shaped trails in the aerogel, which is a silicon-based sponge 100 times lighter than water.",Scientific American,https://www.scientificamerican.com/citizen-science/
iNaturalist.org Global Amphibian Blitz,https://www.scientificamerican.com/citizen-science/inaturalist-global-amphibian-blitz/,Citizen scientists observe and record data to census the world's shrinking amphibian population in the name of science and conservation,Scott Loarie,post-doc at the Carnegie Institution for Science at Stanford University,Ongoing,,Observation,Free,All Ages,Variable,"Citizen scientists can create an account with iNaturalist.org, or sign in through an existing Yahoo, Google, Facebook or Twitter account. Photos of amphibians taken out in the field can be loaded from a hard drive or Flickr or Picasa accounts. Citizen scientists are asked to identify the amphibians in their photos as best they can—all identifications will be checked and verified by Global Amphibian Blitz's organizers.

For more information, contact Scott Loarie: loarie@stanford.edu","For a variety of reasons (including disease, loss of habitat and pollution) the world's frogs and other amphibians are rapidly disappearing. Recent estimates suggest that nearly one-third of the world's amphibian population is facing extinction and that 168 species have already gone extinct in the last two decades.Coordinators of Global Amphibian Blitz are calling on citizen scientists to help arrest this problem by taking stock of amphibian populations worldwide. This includes observing, photographing and recording information about local amphibians. Images can be posted to the Global Amphibian Blitz Web site and amphibian locations are plotted on a world map. In the project's first week alone, researchers say they were able to locate 303 distinct species worldwide—4.4 percent of the 6,815 amphibian species on this planet.In order to protect rare species when they are identified, iNaturalist.org obscures specific locations to protect the amphibians from those who might harm them. Public coordinates describing the locations of species whose names appear on the International Union for Conservation of Nature and Natural Resources ""Red List""—at high risk for global extinction—are obscured by about 5 kilometers. The reporting citizen scientist, however, does see the exact coordinates of his or hear observation.",Scientific American,https://www.scientificamerican.com/citizen-science/
BeeSpotter,https://www.scientificamerican.com/citizen-science/beespotter-illinois/,"More than 75 percent of the planet's flowering plants depend on pollinators (mostly insects) in order to reproduce. Among the most important pollinators are the 5,000+ species of bees in the family Apidae, a group that includes honey bees and bumble bees","May Berenbaum, Professor and Department Head",University of Illinois at Urbana-Champaign Entomology Department,Ongoing,Illinois - Project coordinators hope to expand BeeSpotter nationwide,Fieldwork,Free,All Ages,Variable,"Project organizers have been receiving a number of queries from people wondering how they can get involved in this initiative. The best way to get involved is to get out there with your camera and capture some good pictures of bees. BeeSpotter's coordinators want to get a better idea of bee demographics in the state of Illinois. In order to get your bee pictures on our website, just create an account and then add your bee spotting.

For more information, contact May Berenbaum, maybe@uiuc.edu","Concern about pollinator declines has increased in recent years, and, where pollinator status has been monitored over time, scientists are seeing some dramatic reductions in numbers. For most pollinators, however, there are simply no baseline data available to allow for an evaluation of changes in abundance. Beespotter is a Web-based partnership between the professional science community and citizen scientists—starting in Illinois exclusively but with the goal of spreading nationwide—to meet a critical need for data collection and to provide opportunities for the public to learn more about these ecologically essential organisms.Species in the family Apidae—honey bees and bumble bees—are ideal subjects for citizen-scientist contributions to experimentation and data collection. Because of their striking coloration and readily recognizable shape and behavior, as well as their relatively large size (at least as far as insects are concerned), honey bees and bumble bees are far more easily ""spotted,"" photographed, and identified based on color pattern than most of the other 3,500+ species of bees in North America. There is currently no systematic nationwide effort to document pollinator status in North America beyond the U.S. Department of Agriculture's (USDA) National Agricultural Statistics Service (NASS) annual survey of honey bees used for honey production. The goals of Beespotter are to engage citizen scientists in data collection to establish a baseline for monitoring population declines, to increase public awareness of pollinator diversity, and enhance public appreciation of pollination as an ecosystem service. The use of photography for identification, instead of the net, pin, and spreading board of traditional entomology, is consistent with the goal of preserving bee diversity and enhancing pollinator appreciation.",Scientific American,https://www.scientificamerican.com/citizen-science/
Old Weather,https://www.scientificamerican.com/citizen-science/old-weather-zooniverse/,"To better understand how weather will behave in the future, researchers need to understand how weather has behaved in the past","Philip Brohan, Climate Scientist",Met Office (UK's national weather service),Ongoing,,Data Processing,Free,All Ages,Variable,"The first step is to create an account with Zoonivers (or log in to your existing account). Once you are logged in, you can select from any number of ships and start examining its logs. Once you're on the logbook page, the first task is to find the date, next is location, and so on.

If you have additional questions, visit the Web site or contact Philip Brohan, philip@brohan.org","Old Weather—part of the Zooniverse network of citizen science projects—seeks to gather and study information from ship's logs as a means of better understanding historical weather patterns worldwide. The goal isn't to prove or disprove global warming but rather to gather information about historical weather variability in an effort to improve the ability to predict weather and climate in the future.Over the past several centuries, ships have traveled around the world on voyages of exploration and trade, often recording accurate weather observations along the way. (In fact, it was an offense to falsify a log.) Of course, until recently ships' logs were hand written and kept in disparate locations. Logbooks are difficult for a computer to analyze accurately, so the Old Weather project relies on citizen scientists to analyze scanned log pages and input the data appearing on each page.For example, one of the major areas of interest to Old Weather are log books from the English East India company in the period from the 1780s to the 1830s. About half of the logbooks that exist in the British library for those ships that trade between the UK and India or China have instrumental measurements Old Weather's organizers would like to record.Old Weather citizen scientists visit the project's home page, log in (see below), choose a ship and get started. Participants are assigned rank based upon the amount of data they input, all the way up to Captain. (It takes 30 weather reports more for promotion to Lieutenant, to give you some idea of how it works.)Old Weather's organizers cross-check the data that is entered to catch as many errors or inconsistencies as possible.",Scientific American,https://www.scientificamerican.com/citizen-science/
Project BudBurst,https://www.scientificamerican.com/citizen-science/project-budburst/,A network of citizen scientists across the U.S. who monitor plants as the seasons change,"Sandra Henderson, Co-Director","National Ecological Observatory Network (NEON), Boulder, Colo.",Ongoing,ALL - United States,Observation,Free,All Ages,Variable,"Participants have included school groups, backyard naturalists, gardeners, seniors in retirement communities, scout groups, college professors and their students, hikers, professional botanists and ecologists, visitors to botanic gardens, visitors to Wildlife Refuges and National Parks, and others interested in contributing to a better understanding of plants and climate change.

	Visit the Project BudBurst Web site and register as a ""BudBurst Observer"" or ""Occasional Observer"". Ideally regular observers make observations about 3 times a week, whereas occasional observers are encouraged to share information on plants they see on vacation or out on a hike. Children can also participate through the BudBurst Buddies program.

	To request more information about Project BudBurst or to share suggestions or comments, contact the BudBurst staff at: budburstinfo@neoninc.org","Project BudBurst launched in 2007 as a national field campaign designed to engage the public in the observation and collection of important ecological data based on the timing of leafing, flowering and fruiting of plants (aka plant phenophases). The data are collected in a consistent manner across the country so scientists can use this information to learn more about the responsiveness of individual plant species to changes in climate locally, regionally and nationally.	BudBurst participants select that is convenient for them to observe on a regular basis and record their observations in a field journal (pdf) they download from the BudBurst Web site. Observers are asked to describe the site they are monitoring in terms of proximity to buildings, presence of asphalt surfaces, slope, sunlight and irrigation. In order to make meaningful observations, BudBurst organizers suggest checking out the Plant Resources section of their site.	Observers create an account on the BudBurst site through which they input the data they have gathered. This data freely available to all in several formats.",Scientific American,https://www.scientificamerican.com/citizen-science/
Wisconsin Bat Monitoring Program,https://www.scientificamerican.com/citizen-science/wisconsin-bat-monitoring/,"As deadly white-nose syndrome moves toward Wisconsin's borders, citizens are called upon to help investigate the threat through the collection of data about these nocturnal insectivores","Jeanette Kelly, Citizen Science Center Director",Beaver Creek (Wisc.) Reserve Citizen Science Center,Ongoing,Wisconsin - ,Fieldwork,Free,All Ages,1-3 hours,"Volunteers attend a training workshop during the spring where they learn how to use an AnaBat detector to record bat calls. Sometimes volunteers survey areas of their choice and sometimes they are asked to survey specific sites. Once a volunteer selects a site to survey, they agree to survey that site three times during the season, once in April/May, once in June/July and once in August/September.

Each survey lasts up to 3 hours (a minimum of 1 hour) and can only be conducted on nights when the daytime temperature is above 12 degrees Celsius, there is no precipitation, and the wind speed is less than 48 kilometers per hour. Surveys begin a half hour after sunset. Bat monitoring volunteers of all ages are welcome to participate. Volunteers younger than 16 must be accompanied by an adult.

For more information, visit the program's home page or contact Jeanette Kelly, director of the Beaver Creek Reserve Citizen Science Center, csc@beavercreekreserve.org.","Scientific American reported in December that more than one million bats have been killed by the deadly fungal infection known as white-nose syndrome (WNS) since the condition first turned up in 2006. Bat populations are generally susceptible to decline because of low reproductive rates, and many species congregate at a limited number of locations during critical stages of their natural history cycle (i.e. hibernacula and maternity colonies). Lack of information on basic ecology and trends is one of the greatest limitations to conservation of bat species.Beaver Creek Reserve Citizen Science Center volunteers assist the Wisconsin Department of Natural Resources with their Acoustic Bat Monitoring Program. Bat volunteers borrow AnaBat detection systems, dubbed the ""Bat Monitoring Kit,"" for up to three nights to conduct bat surveys of local parks, neighborhoods, lakes and trails. The AnaBat detector is attached to a GPS-enabled personal digital assistant. The detector picks up the echolocation calls emitted by bats and translates it to a frequency the human ear can hear. Each detection system records information about phenology and species presence. Data is entered into the Wisconsin Bat Monitoring Program database, with the long-term scope of this project to compile information about phenology, species presence, migration timing vs. residence, and trends of the bat species in Wisconsin.",Scientific American,https://www.scientificamerican.com/citizen-science/
Cornell Lab of Ornithology: eBird,https://www.scientificamerican.com/citizen-science/cornell-ornithology-ebird/,Calling all birders! eBird is one of several Cornell Lab citizen-science projects aimed at better understanding our feathered friends as well as other wildlife,Janis Dickinson,Cornell University Lab of Ornithology,Ongoing,,Observation,Free,All Ages,Variable,"Create an account, then follow the steps for inputting information about your birding  observations.

For additional information, contact Janis Dickinson, director of Citizen Science and associate professor of natural resources, Cornell University Lab of Ornithology, jld84@cornell.edu.","Cornell Lab reports that more than 200,000 people contribute to its citizen-science projects each year. Scientists use these data to determine how birds are affected by habitat loss, pollution and disease. They trace bird migration and document long-term changes in bird numbers across the continent. The results have been used to create management guidelines for birds, investigate the effects of acid rain and climate change, and advocate for the protection of declining species.eBird is an on-line checklist project where you can enter and store your bird observations in a central database, track your personal records, and share your observations with other birders and scientists. Cornell also provides graphing, mapping and analysis tools to better understand patterns of bird occurrence and the environmental and human factors that influence them. This real-time data resource produces millions of observations per year.Launched in 2002 by the Cornell Lab of Ornithology and National Audubon Society, eBird documents the presence or absence of species, as well as bird abundance through checklist data.A TalkingScience Citizen Science Buzz blog post from March 23, 2011, provides more insight into the eBird project.",Scientific American,https://www.scientificamerican.com/citizen-science/
Participatory Urban Sensing,https://www.scientificamerican.com/citizen-science/participatory-urban-sensing-ucla/,"Through the use of sensors built into your mobile phone (cameras, motion sensors and GPS) and Web services that can aggregate and interpret the assembled information, a new collective capacity is emerging: one in which people like you participate in sensing and analyzing aspects of life that were previously invisible",Deborah Estrin,"Center for Embedded Networked Sensing, University of California in Los Angeles (UCLA)",Ongoing, - Urban settings,Fieldwork,Free,All Ages,Variable,"Contact Urban Sensing CENS/UCLA via e-mail, text (310) 848-0906 or call (310) 206-2476.

For additional information, contact Deborah Estrin, director of the Center for Embedded Networked Sensing (CENS), destrin@cs.ucla.edu.","Participatory Urban Sensing emphasizes the involvement of individuals and community groups in the process of sensing and documenting where they live, work, and play. It can range from private, personal observations to the combination of data from hundreds, or even thousands, to reveal patterns across a city.UCLA's Center for Embedded Networked Sensing (CENS) puts Urban Sensing into action in projects that span a broad spectrum of subjects such as public health and wellness, environmental science and sustainability, urban planning, and cultural expression. For a listing of projects, visit their Web site. Examples of projects include:Cyclesense—CENS is designing an application that runs on mobile phones that enables bike commuters to log their bike route using GPS and provide geo-tagged annotations (images, text notes) along with automatic sensor data (accelerometer/sound) to infer the roughness and traffic density of the road. Using this information, CENS plans to create an interface to enable bike commuters to plan their route based on both safety and interest vectors. They are currently running a pilot, Biketastic, in which bikers can share their routes which are automatically annotated by noise level, roughness, variation in elevation and duration of stops.Family Dynamics—CNES is working with UCLA's Semel Institute for Neuroscience and Human Behavior to develop technologies to document key features of a family's daily interactions (e.g., co-location, family meals, and consistency). The first coaching tool being prototyped is Andwellness, a personal health self-management application for the Android phones that supports flexible geo-spatial, social and activity triggered reminders and ecological momentary assessment.Personal Environmental Impact Report (PIER)—This online tool allows you to use your mobile phone to explore and share how you impact the environment and how the environment impacts you.",Scientific American,https://www.scientificamerican.com/citizen-science/
Scuttle Fly Study,https://www.scientificamerican.com/citizen-science/scuttle-fly-study/,Researchers want your help collecting scuttle flies (Megaselia scalaris) from as many localities as possible across the U.S. in order to study the genetic factors that determine the sex of these insects,Suzanne McGaugh,"Duke University Center for Theoretical & Mathematical Sciences, Noor lab of Evolutionary Genetics",Ongoing,,Fieldwork,Free,All Ages,Less than 1 hour per week,"We will send participants collection vials, detailed collection instructions, and priority shipping box with prepaid return postage. Participants can either try to catch the flies using the vials, or set up a funnel trap baited with a cotton ball or sponge soaked in wine/vinegar and old fruit and transfer the flies to the collection vials later. The shipping box can be returned to us via any home mailbox; thus, no need for an extra trip to the Post Office.

For additional information, contact Suzanne McGaugh, postdoctoral researcher, suzanne.mcgaugh@duke.edu.","Researchers at Duke University's Noor lab of Evolutionary Genetics are developing a new ""model system"" for addressing interesting evolutionary genetic questions: the scuttle fly, Megaselia scalaris. This species offers many interesting facets: for example, it bears homomorphic sex chromosomes, and sex is determined by a male-determining region that actually transposes among chromosomes at a low, but detectable, rate.The researchers are now in the process of obtaining complete, high-coverage genome sequences from males and females to isolate the region(s) distinguishing the sexes and begin deeper investigation into the genetic and evolutionary questions. Megaselia scalaris is both cosmopolitan and a ""pest"" species, being associated with myiasis and other infections of humans, as well as having potential forensic entomological applications. The researchers anticipate incidental benefits to society from explorations of this interesting biological system.",Scientific American,https://www.scientificamerican.com/citizen-science/
Zooniverse: Planet Hunters,https://www.scientificamerican.com/citizen-science/zooniverse-planet-hunters/,Use data from NASA's Kepler spacecraft to find undiscovered planets outside our solar system,Debra Fischer,"Yale University, San Francisco State University",Ongoing,,Data Processing,Free,All Ages,Variable,"Register at the Zooniverse Web site.

For additional information, contact Debra Fischer, debra.fischer@yale.edu","Since 1995, more than 500 planets have been discovered to be orbiting stars outside our solar system. These exoplanets—terrestrial and larger planets orbiting other stars—are detected with help from NASA's Kepler spacecraft, which launched in March 2009 with the goal of using the transit technique to detect exoplanets. With this method, planets that pass in front of their host stars block out some of the starlight causing the star to dim slightly for a few hours. The Kepler spacecraft stares at a field of stars in the Cygnus constellation and records the brightness of those stars every thirty minutes to search for transiting planets.The time series of brightness measurements for a star is called a light curve. The Kepler spacecraft beams data for more than 150,000 stars to Earth at regular intervals. With every download of data, the time baseline of the light curves is extended. The Kepler team's computers are sifting through the data, but the Planet Hunters project is betting that there will be planets that can only be found via the human ability for pattern recognition.NASA is releasing light curves into the public archive to encourage broader participation, which is where you come in. Planet Hunters is an online experiment that taps into the power of human pattern recognition. Participants are partners with Zooniverse's science team, who will analyze group assessments, obtain follow up observations at the telescope to understand the new classification schemes for different families of light curves, identify oddities, and verify transit signals. The main interface plots Kepler's data on a chart and asks the citizen scientist questions about what they see, such as patterns or dips in light.",Scientific American,https://www.scientificamerican.com/citizen-science/
